datetime,home_team,away_team,home_goal,away_goal,season,round,saldo_casa,saldo_casa_contra,saldo_visitante,saldo_visitante_contra,result
2012-07-08T18:30:00Z,Atletico-MG,Portuguesa-SP,2,0,2012,8,12,3,5,10,3
2012-07-14T18:30:00Z,Figueirense-SC,Atletico-MG,3,4,2012,9,11,14,16,6,0
2012-07-14T18:30:00Z,Corinthians-SP,Nautico-PE,2,1,2012,9,7,12,10,17,3
2012-07-14T21:00:00Z,Ponte Preta-SP,Coritiba-PR,4,1,2012,9,13,9,14,20,3
2012-07-15T16:00:00Z,Bahia-BA,Flamengo-RJ,1,2,2012,9,7,12,15,13,0
2012-07-15T16:00:00Z,Internacional-RS,Santos-SP,0,0,2012,9,12,7,7,7,1
2012-07-15T16:00:00Z,Cruzeiro-MG,Gremio-RS,1,3,2012,9,12,11,12,9,0
2012-07-15T16:00:00Z,Botafogo-RJ,Fluminense-RJ,1,1,2012,9,21,15,16,6,1
2012-07-15T18:30:00Z,Palmeiras-SP,Sao Paulo-SP,1,1,2012,9,8,11,12,10,1
2012-07-15T18:30:00Z,Vasco da Gama-RJ,Atletico-GO,1,0,2012,9,16,11,4,16,3
2012-07-15T18:30:00Z,Sport-PE,Portuguesa-SP,2,1,2012,9,10,11,6,12,3
2012-07-18T19:30:00Z,Santos-SP,Botafogo-RJ,0,0,2012,10,7,7,21,15,1
2012-07-18T19:30:00Z,Gremio-RS,Sport-PE,3,1,2012,10,15,10,11,14,3
2012-07-18T20:30:00Z,Portuguesa-SP,Cruzeiro-MG,0,2,2012,10,6,14,14,11,0
2012-07-18T20:30:00Z,Nautico-PE,Ponte Preta-SP,3,0,2012,10,13,17,13,12,3
2012-07-18T21:50:00Z,Sao Paulo-SP,Vasco da Gama-RJ,0,1,2012,10,12,11,17,11,0
2012-07-18T21:50:00Z,Atletico-MG,Internacional-RS,3,1,2012,10,19,7,13,10,3
2012-07-18T21:50:00Z,Flamengo-RJ,Corinthians-SP,0,3,2012,10,15,16,10,12,0
2012-07-19T21:00:00Z,Fluminense-RJ,Bahia-BA,4,0,2012,10,20,6,7,16,3
2012-07-19T21:00:00Z,Coritiba-PR,Palmeiras-SP,1,1,2012,10,15,21,9,12,1
2012-07-19T21:00:00Z,Atletico-GO,Figueirense-SC,3,2,2012,10,7,18,13,17,3
2012-07-21T18:30:00Z,Sport-PE,Atletico-MG,1,4,2012,11,12,18,23,8,0
2012-07-21T18:30:00Z,Vasco da Gama-RJ,Santos-SP,2,0,2012,11,19,11,7,9,3
2012-07-21T21:00:00Z,Corinthians-SP,Portuguesa-SP,1,1,2012,11,11,13,7,15,1
2012-07-22T16:00:00Z,Internacional-RS,Atletico-GO,4,1,2012,11,17,11,8,22,3
2012-07-22T16:00:00Z,Cruzeiro-MG,Flamengo-RJ,1,0,2012,11,15,11,15,17,3
2012-07-22T16:00:00Z,Figueirense-SC,Sao Paulo-SP,0,2,2012,11,13,19,14,11,0
2012-07-22T16:00:00Z,Palmeiras-SP,Nautico-PE,3,0,2012,11,12,12,13,20,3
2012-07-22T18:30:00Z,Bahia-BA,Coritiba-PR,2,2,2012,11,9,18,17,23,1
2012-07-22T18:30:00Z,Botafogo-RJ,Gremio-RS,0,1,2012,11,21,16,16,10,0
2012-07-22T18:30:00Z,Ponte Preta-SP,Fluminense-RJ,1,2,2012,11,14,14,22,7,0
2012-07-25T19:30:00Z,Figueirense-SC,Internacional-RS,0,1,2012,12,13,20,18,11,0
