home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,result
Cruzeiro-MG,MG,Botafogo-RJ,RJ,1,3,2012,22,0
Sao Paulo-SP,SP,Internacional-RS,RS,1,1,2012,22,1
Fluminense-RJ,RJ,Santos-SP,SP,3,1,2012,22,3
Palmeiras-SP,SP,Sport-PE,PE,3,1,2012,22,3
Ponte Preta-SP,SP,Figueirense-SC,SC,2,2,2012,23,1
Coritiba-PR,PR,Flamengo-RJ,RJ,3,0,2012,23,3
Corinthians-SP,SP,Gremio-RS,RS,3,1,2012,23,3
Botafogo-RJ,RJ,Nautico-PE,PE,3,1,2012,23,3
Santos-SP,SP,Sao Paulo-SP,SP,0,0,2012,23,1
Internacional-RS,RS,Fluminense-RJ,RJ,0,1,2012,23,0
Atletico-GO,GO,Portuguesa-SP,SP,1,1,2012,23,1
Atletico-MG,MG,Palmeiras-SP,SP,3,0,2012,23,3
Sport-PE,PE,Cruzeiro-MG,MG,2,1,2012,23,3
Vasco da Gama-RJ,RJ,Bahia-BA,BA,0,4,2012,23,0
Corinthians-SP,SP,Ponte Preta-SP,SP,1,1,2012,24,1
Portuguesa-SP,SP,Fluminense-RJ,RJ,0,2,2012,24,0
Figueirense-SC,SC,Cruzeiro-MG,MG,2,0,2012,24,3
Sport-PE,PE,Bahia-BA,BA,1,1,2012,24,1
Atletico-GO,GO,Coritiba-PR,PR,1,2,2012,24,0
Vasco da Gama-RJ,RJ,Palmeiras-SP,SP,3,1,2012,24,3
Santos-SP,SP,Flamengo-RJ,RJ,2,0,2012,24,3
Atletico-MG,MG,Sao Paulo-SP,SP,1,0,2012,24,3
Gremio-RS,RS,Nautico-PE,PE,2,0,2012,24,3
Botafogo-RJ,RJ,Internacional-RS,RS,1,1,2012,24,1
Fluminense-RJ,RJ,Atletico-GO,GO,1,2,2012,25,0
Sao Paulo-SP,SP,Portuguesa-SP,SP,3,1,2012,25,3
Palmeiras-SP,SP,Corinthians-SP,SP,0,2,2012,25,0
Cruzeiro-MG,MG,Vasco da Gama-RJ,RJ,1,1,2012,25,1
Coritiba-PR,PR,Santos-SP,SP,1,2,2012,25,0
Nautico-PE,PE,Atletico-MG,MG,1,0,2012,25,3
Bahia-BA,BA,Figueirense-SC,SC,2,1,2012,25,3
Flamengo-RJ,RJ,Gremio-RS,RS,1,1,2012,25,1
Internacional-RS,RS,Sport-PE,PE,2,2,2012,25,1
Ponte Preta-SP,SP,Botafogo-RJ,RJ,0,0,2012,25,1
Fluminense-RJ,RJ,Nautico-PE,PE,2,1,2012,26,3
Figueirense-SC,SC,Palmeiras-SP,SP,1,3,2012,26,0
Santos-SP,SP,Portuguesa-SP,SP,1,3,2012,26,0
Botafogo-RJ,RJ,Corinthians-SP,SP,2,2,2012,26,1
Sao Paulo-SP,SP,Cruzeiro-MG,MG,1,0,2012,26,3
Ponte Preta-SP,SP,Vasco da Gama-RJ,RJ,0,0,2012,26,1
Atletico-GO,GO,Flamengo-RJ,RJ,1,2,2012,26,0
Internacional-RS,RS,Bahia-BA,BA,3,1,2012,26,3
Atletico-MG,MG,Gremio-RS,RS,0,0,2012,26,1
Sport-PE,PE,Coritiba-PR,PR,1,0,2012,26,3
Nautico-PE,PE,Atletico-GO,GO,2,0,2012,27,3
Portuguesa-SP,SP,Atletico-MG,MG,1,1,2012,27,1
Vasco da Gama-RJ,RJ,Figueirense-SC,SC,3,1,2012,27,3
Cruzeiro-MG,MG,Internacional-RS,RS,0,0,2012,27,1
Palmeiras-SP,SP,Ponte Preta-SP,SP,3,0,2012,27,3
Flamengo-RJ,RJ,Fluminense-RJ,RJ,0,1,2012,27,0
Corinthians-SP,SP,Sport-PE,PE,3,0,2012,27,3
Coritiba-PR,PR,Sao Paulo-SP,SP,1,1,2012,27,1
Bahia-BA,BA,Botafogo-RJ,RJ,2,0,2012,27,3
Gremio-RS,RS,Santos-SP,SP,1,1,2012,27,1
Flamengo-RJ,RJ,Bahia-BA,BA,0,0,2012,28,1
Portuguesa-SP,SP,Sport-PE,PE,5,1,2012,28,3
Coritiba-PR,PR,Ponte Preta-SP,SP,1,0,2012,28,3
Sao Paulo-SP,SP,Palmeiras-SP,SP,3,0,2012,28,3
Atletico-GO,GO,Vasco da Gama-RJ,RJ,0,1,2012,28,0
Santos-SP,SP,Internacional-RS,RS,1,1,2012,28,1
Nautico-PE,PE,Corinthians-SP,SP,2,1,2012,28,3
Fluminense-RJ,RJ,Botafogo-RJ,RJ,1,0,2012,28,3
